name,comment
总愛撒谎,原来好多人的故事都是从初二开始的。
super_ye1988,幸好有江苏卫视，不然自己就错过这么好听的歌曲了。一直觉得现在的流行歌曲已经不好听了，可这首歌曲却完全唱到即将30的我的心里去了。想起JJ以前的歌曲，也是陪伴了我整个青春啊。
peanutszeus,我大jj现场真心强大
无锡朴彩英,“未满18岁的爱情基本上不会有结果.”
3di50n,live 之王 我服
壹贰零壹啊,“我多希望在某一个晚上或凌晨，你也会给我发一段长长的信息，告诉我这些日子你也从来没有忘记我，你也很想我”
樱井蔓子,后来就已经分不清对他到底是喜欢还是执念了
再也不捡你的青红皂白,周董淡出娱乐圈后，也就林俊杰撑着华语乐坛了
在爱吗-,"如果有一个男孩对我长篇大论道歉,一遍一遍打电话过来,语音那头哭出声,即使我在失望,我也愿意在给他一次机会。"
3377柒,最喜欢这首歌从1分45秒到2分08秒的那段伴奏。不知为什么
小陈_beauty,"""后来 和你有点像的人 我都会多看上几眼”"
害羞到捂脸,少听晚上的垃圾 爱情观。你的男孩在用自己的方式爱你。
1你也会难过吗,我还是那个一听可惜没如果就会哭的女孩
PANQIXUE,十几岁的爱情不会有结果.
那片海-h,许多错过都是嘴硬造成的
凤帝君,挺住小兄弟
alank,小学生的恋爱
烃烃烃烃烃烃烃,好吧，不要太难过，祝你开心每一天
亦浱,又分了，她心不诚
痘痘都消失i,三年了，你好像只有需要钱的时候才看得到我，朋友永远比我重要，所以事情都比我重要，我只是你生活的附属品，而你是我生活的全部。
東不東京,小少爷 你殊不知你在本小姐心中很重要
杉御子,生命 生活 自由 爱
kiss婷婷_,08年就？？
夏天也要喝烫水-,w
夏天也要喝烫水-,wwky
最喜欢吃夜宵la,尚 马上就一年了 我还是忘不掉你 回来吗。
男人不能信-,因为吵架是为了更好的在一起 不知道从什么时候开始 我们不再频繁的聊天 不再跟对方分享日常 你曾经说情侣就应该时时刻刻的跟对方聊天 有人说这是散场的开始 我离开你不是因为不喜欢你了 也不是因为异地恋见不到 而是你给我的态度让我觉得 你的世界好像没有我
男人不能信-,其实我很早就发现我们不合适了 但我舍不得 你 我想办法适应你 把不合适变成合适 把你规划到我的末来里 过程并不快乐 我发觉我的喜欢和你对我的喜欢并不相等 你有很多选择 我却只想选择你 我只会傻傻的相信你说的每一句话 宫崎骏说一个人如果真的喜欢你 就算吵架再狠 删除多少次 他都会找你
不和美女玩_,删你的时候我发誓绝不啃回头草 后来发现我的誓言是一时的 你的绝情是一直的
w肆月拾柒,自由 生活生命 爱
w肆月拾柒,2020.4.17我们在一块儿了 2022.4.17你提出分开 2022.3.26你来找我你说你对不起我 我回了你一个问号 你说你是混蛋 我说然后呢 你说复合吧 我对你说 不了把你的衣服寄给你吧 后来也没联系 5.6那天在家打扫卫生 发现你的笔记本电脑还在我家我发现电脑上了密码 输入了我的生日 解开了 我发现里面全关于我。
恋神涵,早点睡吧 没人懂你凌晨三四点的心.
怕冒失搞不好,比感情有趣的事情多着呢
澈也是有坏情绪的,如果当时我们都大胆一点是不是就不会错过了。
爱神蕊,我不懂什么是爱 但我知道爱一定不是掉眼泪 我们都是感情中的受害者 在这个快餐似的时代深情和真诚一文不值 被爱的前提是漂亮吗 可是我也见过许多不漂亮也被爱的例子 所以被爱的前提到底是什么
总愛撒谎,原来好多人的故事都是从初二开始的。
super_ye1988,幸好有江苏卫视，不然自己就错过这么好听的歌曲了。一直觉得现在的流行歌曲已经不好听了，可这首歌曲却完全唱到即将30的我的心里去了。想起JJ以前的歌曲，也是陪伴了我整个青春啊。
peanutszeus,我大jj现场真心强大
无锡朴彩英,“未满18岁的爱情基本上不会有结果.”
3di50n,live 之王 我服
壹贰零壹啊,“我多希望在某一个晚上或凌晨，你也会给我发一段长长的信息，告诉我这些日子你也从来没有忘记我，你也很想我”
樱井蔓子,后来就已经分不清对他到底是喜欢还是执念了
再也不捡你的青红皂白,周董淡出娱乐圈后，也就林俊杰撑着华语乐坛了
在爱吗-,"如果有一个男孩对我长篇大论道歉,一遍一遍打电话过来,语音那头哭出声,即使我在失望,我也愿意在给他一次机会。"
3377柒,最喜欢这首歌从1分45秒到2分08秒的那段伴奏。不知为什么
小陈_beauty,"""后来 和你有点像的人 我都会多看上几眼”"
害羞到捂脸,少听晚上的垃圾 爱情观。你的男孩在用自己的方式爱你。
1你也会难过吗,我还是那个一听可惜没如果就会哭的女孩
PANQIXUE,十几岁的爱情不会有结果.
那片海-h,许多错过都是嘴硬造成的
凤帝君,挺住小兄弟
alank,小学生的恋爱
烃烃烃烃烃烃烃,好吧，不要太难过，祝你开心每一天
亦浱,又分了，她心不诚
痘痘都消失i,三年了，你好像只有需要钱的时候才看得到我，朋友永远比我重要，所以事情都比我重要，我只是你生活的附属品，而你是我生活的全部。
東不東京,小少爷 你殊不知你在本小姐心中很重要
杉御子,生命 生活 自由 爱
kiss婷婷_,08年就？？
夏天也要喝烫水-,w
夏天也要喝烫水-,wwky
最喜欢吃夜宵la,尚 马上就一年了 我还是忘不掉你 回来吗。
男人不能信-,因为吵架是为了更好的在一起 不知道从什么时候开始 我们不再频繁的聊天 不再跟对方分享日常 你曾经说情侣就应该时时刻刻的跟对方聊天 有人说这是散场的开始 我离开你不是因为不喜欢你了 也不是因为异地恋见不到 而是你给我的态度让我觉得 你的世界好像没有我
男人不能信-,其实我很早就发现我们不合适了 但我舍不得 你 我想办法适应你 把不合适变成合适 把你规划到我的末来里 过程并不快乐 我发觉我的喜欢和你对我的喜欢并不相等 你有很多选择 我却只想选择你 我只会傻傻的相信你说的每一句话 宫崎骏说一个人如果真的喜欢你 就算吵架再狠 删除多少次 他都会找你
不和美女玩_,删你的时候我发誓绝不啃回头草 后来发现我的誓言是一时的 你的绝情是一直的
w肆月拾柒,自由 生活生命 爱
w肆月拾柒,2020.4.17我们在一块儿了 2022.4.17你提出分开 2022.3.26你来找我你说你对不起我 我回了你一个问号 你说你是混蛋 我说然后呢 你说复合吧 我对你说 不了把你的衣服寄给你吧 后来也没联系 5.6那天在家打扫卫生 发现你的笔记本电脑还在我家我发现电脑上了密码 输入了我的生日 解开了 我发现里面全关于我。
恋神涵,早点睡吧 没人懂你凌晨三四点的心.
怕冒失搞不好,比感情有趣的事情多着呢
澈也是有坏情绪的,如果当时我们都大胆一点是不是就不会错过了。
爱神蕊,我不懂什么是爱 但我知道爱一定不是掉眼泪 我们都是感情中的受害者 在这个快餐似的时代深情和真诚一文不值 被爱的前提是漂亮吗 可是我也见过许多不漂亮也被爱的例子 所以被爱的前提到底是什么
总愛撒谎,原来好多人的故事都是从初二开始的。
super_ye1988,幸好有江苏卫视，不然自己就错过这么好听的歌曲了。一直觉得现在的流行歌曲已经不好听了，可这首歌曲却完全唱到即将30的我的心里去了。想起JJ以前的歌曲，也是陪伴了我整个青春啊。
peanutszeus,我大jj现场真心强大
无锡朴彩英,“未满18岁的爱情基本上不会有结果.”
3di50n,live 之王 我服
壹贰零壹啊,“我多希望在某一个晚上或凌晨，你也会给我发一段长长的信息，告诉我这些日子你也从来没有忘记我，你也很想我”
樱井蔓子,后来就已经分不清对他到底是喜欢还是执念了
再也不捡你的青红皂白,周董淡出娱乐圈后，也就林俊杰撑着华语乐坛了
在爱吗-,"如果有一个男孩对我长篇大论道歉,一遍一遍打电话过来,语音那头哭出声,即使我在失望,我也愿意在给他一次机会。"
3377柒,最喜欢这首歌从1分45秒到2分08秒的那段伴奏。不知为什么
小陈_beauty,"""后来 和你有点像的人 我都会多看上几眼”"
害羞到捂脸,少听晚上的垃圾 爱情观。你的男孩在用自己的方式爱你。
1你也会难过吗,我还是那个一听可惜没如果就会哭的女孩
PANQIXUE,十几岁的爱情不会有结果.
那片海-h,许多错过都是嘴硬造成的
凤帝君,挺住小兄弟
alank,小学生的恋爱
烃烃烃烃烃烃烃,好吧，不要太难过，祝你开心每一天
亦浱,又分了，她心不诚
痘痘都消失i,三年了，你好像只有需要钱的时候才看得到我，朋友永远比我重要，所以事情都比我重要，我只是你生活的附属品，而你是我生活的全部。
東不東京,小少爷 你殊不知你在本小姐心中很重要
杉御子,生命 生活 自由 爱
kiss婷婷_,08年就？？
夏天也要喝烫水-,w
夏天也要喝烫水-,wwky
最喜欢吃夜宵la,尚 马上就一年了 我还是忘不掉你 回来吗。
男人不能信-,因为吵架是为了更好的在一起 不知道从什么时候开始 我们不再频繁的聊天 不再跟对方分享日常 你曾经说情侣就应该时时刻刻的跟对方聊天 有人说这是散场的开始 我离开你不是因为不喜欢你了 也不是因为异地恋见不到 而是你给我的态度让我觉得 你的世界好像没有我
男人不能信-,其实我很早就发现我们不合适了 但我舍不得 你 我想办法适应你 把不合适变成合适 把你规划到我的末来里 过程并不快乐 我发觉我的喜欢和你对我的喜欢并不相等 你有很多选择 我却只想选择你 我只会傻傻的相信你说的每一句话 宫崎骏说一个人如果真的喜欢你 就算吵架再狠 删除多少次 他都会找你
不和美女玩_,删你的时候我发誓绝不啃回头草 后来发现我的誓言是一时的 你的绝情是一直的
w肆月拾柒,自由 生活生命 爱
w肆月拾柒,2020.4.17我们在一块儿了 2022.4.17你提出分开 2022.3.26你来找我你说你对不起我 我回了你一个问号 你说你是混蛋 我说然后呢 你说复合吧 我对你说 不了把你的衣服寄给你吧 后来也没联系 5.6那天在家打扫卫生 发现你的笔记本电脑还在我家我发现电脑上了密码 输入了我的生日 解开了 我发现里面全关于我。
恋神涵,早点睡吧 没人懂你凌晨三四点的心.
怕冒失搞不好,比感情有趣的事情多着呢
澈也是有坏情绪的,如果当时我们都大胆一点是不是就不会错过了。
爱神蕊,我不懂什么是爱 但我知道爱一定不是掉眼泪 我们都是感情中的受害者 在这个快餐似的时代深情和真诚一文不值 被爱的前提是漂亮吗 可是我也见过许多不漂亮也被爱的例子 所以被爱的前提到底是什么
总愛撒谎,原来好多人的故事都是从初二开始的。
super_ye1988,幸好有江苏卫视，不然自己就错过这么好听的歌曲了。一直觉得现在的流行歌曲已经不好听了，可这首歌曲却完全唱到即将30的我的心里去了。想起JJ以前的歌曲，也是陪伴了我整个青春啊。
peanutszeus,我大jj现场真心强大
无锡朴彩英,“未满18岁的爱情基本上不会有结果.”
3di50n,live 之王 我服
壹贰零壹啊,“我多希望在某一个晚上或凌晨，你也会给我发一段长长的信息，告诉我这些日子你也从来没有忘记我，你也很想我”
樱井蔓子,后来就已经分不清对他到底是喜欢还是执念了
再也不捡你的青红皂白,周董淡出娱乐圈后，也就林俊杰撑着华语乐坛了
在爱吗-,"如果有一个男孩对我长篇大论道歉,一遍一遍打电话过来,语音那头哭出声,即使我在失望,我也愿意在给他一次机会。"
3377柒,最喜欢这首歌从1分45秒到2分08秒的那段伴奏。不知为什么
小陈_beauty,"""后来 和你有点像的人 我都会多看上几眼”"
害羞到捂脸,少听晚上的垃圾 爱情观。你的男孩在用自己的方式爱你。
1你也会难过吗,我还是那个一听可惜没如果就会哭的女孩
PANQIXUE,十几岁的爱情不会有结果.
那片海-h,许多错过都是嘴硬造成的
凤帝君,挺住小兄弟
alank,小学生的恋爱
烃烃烃烃烃烃烃,好吧，不要太难过，祝你开心每一天
亦浱,又分了，她心不诚
痘痘都消失i,三年了，你好像只有需要钱的时候才看得到我，朋友永远比我重要，所以事情都比我重要，我只是你生活的附属品，而你是我生活的全部。
東不東京,小少爷 你殊不知你在本小姐心中很重要
杉御子,生命 生活 自由 爱
kiss婷婷_,08年就？？
夏天也要喝烫水-,w
夏天也要喝烫水-,wwky
最喜欢吃夜宵la,尚 马上就一年了 我还是忘不掉你 回来吗。
男人不能信-,因为吵架是为了更好的在一起 不知道从什么时候开始 我们不再频繁的聊天 不再跟对方分享日常 你曾经说情侣就应该时时刻刻的跟对方聊天 有人说这是散场的开始 我离开你不是因为不喜欢你了 也不是因为异地恋见不到 而是你给我的态度让我觉得 你的世界好像没有我
男人不能信-,其实我很早就发现我们不合适了 但我舍不得 你 我想办法适应你 把不合适变成合适 把你规划到我的末来里 过程并不快乐 我发觉我的喜欢和你对我的喜欢并不相等 你有很多选择 我却只想选择你 我只会傻傻的相信你说的每一句话 宫崎骏说一个人如果真的喜欢你 就算吵架再狠 删除多少次 他都会找你
不和美女玩_,删你的时候我发誓绝不啃回头草 后来发现我的誓言是一时的 你的绝情是一直的
w肆月拾柒,自由 生活生命 爱
w肆月拾柒,2020.4.17我们在一块儿了 2022.4.17你提出分开 2022.3.26你来找我你说你对不起我 我回了你一个问号 你说你是混蛋 我说然后呢 你说复合吧 我对你说 不了把你的衣服寄给你吧 后来也没联系 5.6那天在家打扫卫生 发现你的笔记本电脑还在我家我发现电脑上了密码 输入了我的生日 解开了 我发现里面全关于我。
恋神涵,早点睡吧 没人懂你凌晨三四点的心.
怕冒失搞不好,比感情有趣的事情多着呢
澈也是有坏情绪的,如果当时我们都大胆一点是不是就不会错过了。
爱神蕊,我不懂什么是爱 但我知道爱一定不是掉眼泪 我们都是感情中的受害者 在这个快餐似的时代深情和真诚一文不值 被爱的前提是漂亮吗 可是我也见过许多不漂亮也被爱的例子 所以被爱的前提到底是什么
总愛撒谎,原来好多人的故事都是从初二开始的。
super_ye1988,幸好有江苏卫视，不然自己就错过这么好听的歌曲了。一直觉得现在的流行歌曲已经不好听了，可这首歌曲却完全唱到即将30的我的心里去了。想起JJ以前的歌曲，也是陪伴了我整个青春啊。
peanutszeus,我大jj现场真心强大
无锡朴彩英,“未满18岁的爱情基本上不会有结果.”
3di50n,live 之王 我服
壹贰零壹啊,“我多希望在某一个晚上或凌晨，你也会给我发一段长长的信息，告诉我这些日子你也从来没有忘记我，你也很想我”
樱井蔓子,后来就已经分不清对他到底是喜欢还是执念了
再也不捡你的青红皂白,周董淡出娱乐圈后，也就林俊杰撑着华语乐坛了
在爱吗-,"如果有一个男孩对我长篇大论道歉,一遍一遍打电话过来,语音那头哭出声,即使我在失望,我也愿意在给他一次机会。"
3377柒,最喜欢这首歌从1分45秒到2分08秒的那段伴奏。不知为什么
小陈_beauty,"""后来 和你有点像的人 我都会多看上几眼”"
害羞到捂脸,少听晚上的垃圾 爱情观。你的男孩在用自己的方式爱你。
1你也会难过吗,我还是那个一听可惜没如果就会哭的女孩
PANQIXUE,十几岁的爱情不会有结果.
那片海-h,许多错过都是嘴硬造成的
凤帝君,挺住小兄弟
alank,小学生的恋爱
烃烃烃烃烃烃烃,好吧，不要太难过，祝你开心每一天
亦浱,又分了，她心不诚
痘痘都消失i,三年了，你好像只有需要钱的时候才看得到我，朋友永远比我重要，所以事情都比我重要，我只是你生活的附属品，而你是我生活的全部。
東不東京,小少爷 你殊不知你在本小姐心中很重要
杉御子,生命 生活 自由 爱
kiss婷婷_,08年就？？
夏天也要喝烫水-,w
夏天也要喝烫水-,wwky
最喜欢吃夜宵la,尚 马上就一年了 我还是忘不掉你 回来吗。
男人不能信-,因为吵架是为了更好的在一起 不知道从什么时候开始 我们不再频繁的聊天 不再跟对方分享日常 你曾经说情侣就应该时时刻刻的跟对方聊天 有人说这是散场的开始 我离开你不是因为不喜欢你了 也不是因为异地恋见不到 而是你给我的态度让我觉得 你的世界好像没有我
男人不能信-,其实我很早就发现我们不合适了 但我舍不得 你 我想办法适应你 把不合适变成合适 把你规划到我的末来里 过程并不快乐 我发觉我的喜欢和你对我的喜欢并不相等 你有很多选择 我却只想选择你 我只会傻傻的相信你说的每一句话 宫崎骏说一个人如果真的喜欢你 就算吵架再狠 删除多少次 他都会找你
不和美女玩_,删你的时候我发誓绝不啃回头草 后来发现我的誓言是一时的 你的绝情是一直的
w肆月拾柒,自由 生活生命 爱
w肆月拾柒,2020.4.17我们在一块儿了 2022.4.17你提出分开 2022.3.26你来找我你说你对不起我 我回了你一个问号 你说你是混蛋 我说然后呢 你说复合吧 我对你说 不了把你的衣服寄给你吧 后来也没联系 5.6那天在家打扫卫生 发现你的笔记本电脑还在我家我发现电脑上了密码 输入了我的生日 解开了 我发现里面全关于我。
恋神涵,早点睡吧 没人懂你凌晨三四点的心.
怕冒失搞不好,比感情有趣的事情多着呢
澈也是有坏情绪的,如果当时我们都大胆一点是不是就不会错过了。
